_gat_gtag_UA_1248015_24;1;.guru99.com;/;Mon Apr 13 20:36:36 EEST 2020;false
_ga;GA1.2.463409159.1586799336;.guru99.com;/;Wed Apr 13 20:35:38 EEST 2022;false
PHPSESSID;dh7g0t3nr81oqvh2tq7decqoa1;demo.guru99.com;/;null;false
_gid;GA1.2.1182932434.1586799336;.guru99.com;/;Tue Apr 14 20:35:38 EEST 2020;false
